item,itemLabel,startDate,endDate,constituencyLabel,party,partyLabel
,Kayode Moshood Akiolu,2019-06-11,,Lagos Island II,Q4729266,APC
,Olajide Jimoh,2019-06-11,,Lagos Mainland,Q4729266,APC
,Adeyemi Taofeek Alli,2019-06-11,,Mushin I,Q4729266,APC
Q35538044,Bolaji Ayinla,2019-06-11,,Mushin II,Q4729266,APC
Q20685008,Tajudeen Obasa,2019-06-11,,Ojo,Q1551163,PDP
,Bashiru Dawodu,2019-06-11,,Oshodi/Isolo I,Q4729266,APC
,Ganiyu Johnson,2019-06-11,,Oshodi/Isolo II,Q4729266,APC
Q111141447,Ademorin Kuye,2019-06-11,,Somolu,Q4729266,APC
Q5442793,Femi Gbajabiamila,2019-06-11,,Surulere I,Q4729266,APC
,Olatunji Shoyinka,2019-06-11,,Surulere II,Q1551163,PDP
,Abdulkarim Usman,2019-06-11,,Akwanga/Nasarawa/Eggon/Wamba,Q1551163,PDP
,Abubakar Nalaraba,2019-06-11,,Awe/Doma/Keana,Q4729266,APC
,Gaza Jonathan Gbefwi,2019-06-11,2021-07-07,Keffi/Karu/Kokona,Q1551163,PDP
,Gaza Jonathan Gbefwi,2021-07-07,,Keffi/Karu/Kokona,Q4729266,APC
,Abubakar Sarki Dahiru,2019-06-11,,Lafia/Obi,Q4729266,APC
,Abdulmumin Muhammed Ari,2019-06-11,,Nassarawa/Toto,Q4729266,APC
,Abdullahi Mamudu,2019-06-11,,Agaie/Lapai,Q4729266,APC
,Ja'afaru Mohammed,2019-06-11,,Agwara/Borgu,Q4729266,APC
Q87451110,Saidu Musa Abdullahi,2019-06-11,,Bida/Gbako/Katcha,Q4729266,APC
,Shehu Barwa Beji,2019-06-11,,Bosso/Paikoro,Q4729266,APC
Q65929260,Mohammed Umar Bago,2019-06-11,,Chanchaga,Q4729266,APC
,Abubakar Lado,2019-06-11,,Gurara/Suleja/Tapa,Q4729266,APC
Q35538977,Abdullahi Idris Garba,2019-06-11,,Kontagora/Wushishi/Mariga/Mashegu,Q4729266,APC
,Usman Abdullahi Gbatamangi,2019-06-11,,Lavun/Mokwa/Edati,Q4729266,APC
,Shehu Saleh,2019-06-11,2019-06,Magama/Rijau,Q4729266,APC
,Ja’afaru Iliyasu,2019-07-04,2019-12-02,Magama/Rijau,Q4729266,APC
,Kasimu Danjuma,2020-03-19,2020-09-21,Magama/Rijau,Q4729266,APC
,Shehu Saleh,2021-02-10,2022-04-16,Magama/Rijau,Q4729271,APGA
,Shehu Saleh,2022-04-16,,Magama/Rijau,Q4729266,APC
,Umar Saidu Doka,2019-06-11,,Shiroro/Rafi/Munya,Q4729266,APC
,Olumide Osoba,2019-06-11,,Abeokuta North/Obafemi Owode/Odeda,Q4729266,APC
,Lanre Edun,2019-06-11,,Abeokuta South,Q4729266,APC
,Jimoh Ojugbele,2019-06-11,,Ado-Odo/Ota,Q4729266,APC
,Olaifa Jimoh Aremu,2019-06-11,2021-03-17,Egbado North/Imeko-Afon,Q60143323,ADC
,Olaifa Jimoh Aremu,2021-03-17,,Egbado North/Imeko-Afon,Q4729266,APC
,Kolawole Lawal,2019-06-11,2021-03-17,Egbado South and Ipokia,Q65081160,APM
,Kolawole Lawal,2020-10-10,,Egbado South and Ipokia,Q4729266,APC
,Ibrahim Isiaka,2019-06-11,,Ifo/Ewekoro,Q4729266,APC
Q23414656,Adekoya Adesegun Abdel-Majid,2019-06-11,,Ijebu North/Ijebu East/Ogun Waterside,Q1551163,PDP
,Kolapo Korede Osunsanya,2019-06-11,2019-09-09,Ijebu Ode/Odogbolu/Ijebu North East,Q4729266,APC
,Kolapo Korede Osunsanya,2020-01-30,,Ijebu Ode/Odogbolu/Ijebu North East,Q4729266,APC
,Adewunmi Onanuga,2019-06-11,,Ikenne/Shagamu/Remo North,Q1551163,PDP
Q105981510,Olubunmi Tunji-Ojo,2019-06-11,,Akoko North East/Akoko North West,Q4729266,APC
Q111141446,Adejoro Adeogun,2019-06-11,,Akoko South East/Akoko South West,Q4729266,APC
Q104531146,Adedayo Omolafe,2019-06-11,2021-08-16,Akure North/Akure South,Q1551163,PDP
,Mayokun Lawson-Alade,2022-03-10,,Akure North/Akure South,Q4729266,APC
Q67099464,Tajudeen Adeyemi Adefisoye,2019-06-11,2020-12-16,Idanre/Ifedore,Q7550561,SDP
Q67099464,Tajudeen Adeyemi Adefisoye,2020-12-16,,Idanre/Ifedore,Q4729266,APC
,Kolade Victor Akinjo,2019-06-11,,Ilaje/Eseodo,Q1551163,PDP
,Mayowa Akinfolarin,2019-06-11,,Ile-oluji/Okeigbo/Odigbo,Q4729266,APC
,Gboluga Dele Ikengboju,2019-06-11,,Irele/Okitipupa,Q1551163,PDP
Q77569924,Abiola Makinde,2019-06-11,2021-02-23,Ondo East/Ondo West,Q60143323,ADC
Q77569924,Abiola Makinde,2021-02-23,,Ondo East/Ondo West,Q4729266,APC
,Oluwatimehin Adelegbe,2019-06-11,,Owo/Ose,Q4729266,APC
,Lawrence Babatunde Ayeni,2019-06-11,,Atakunmosa East/Atakunmosa West/Ilesa East/Ilesa West,Q4729266,APC
,Taiwo Oluga,2019-06-11,,Ayedaade/Irewole/Isokan,Q4729266,APC
,Amobi Yinusa Akintola,2019-06-11,,Ayedire/Iwo/Ola-Oluwa,Q4729266,APC
,Olufemi Fakeye,2019-06-11,,Boluwaduro/Ifedayo/Illa,Q4729266,APC
,Bamidele Salam,2019-06-11,,Ede North/Ede South/Egbedero/Ejigbo,Q4729266,APC
Q95692830,Taofeek Abimbola Ajilesoro,2019-06-11,,Ife Central/Ife East/Ife North/Ife South,Q1551163,PDP
,Olubukola Oyewo,2019-06-11,,Irepodun/Olurunda/Osogbo/Orolu,Q4729266,APC
Q50825739,Oluwole Oke,2019-06-11,,Obokun/Oriade,Q1551163,PDP
,Olalekan Rasheed Afolabi,2019-06-11,,Odo-Otin/Boripe/Ifelodun,Q4729266,APC
Q35537525,Akeem Adeniyi Adeyemi,2019-06-11,,Afijio/Atiba/Oyo East/Oyo West,Q4729266,APC
,Oluokun Akintola,2019-06-11,,Akinyele/Lagelu,Q4729266,APC
,Olajide Olatubosun,2019-06-11,,Atisbo/Saki East/Saki West,Q4729266,APC
Q19667180,Akinola Adekunle Alabi,2019-06-11,,Egbeda/Ona-Ara,Q4729266,APC
,Abass Adigun,2019-06-11,,Ibadan North East/Ibadan South East,Q1551163,PDP
,Olaide Adewale Akinremi,2019-06-11,,Ibadan North,Q4729266,APC
,Adedeji Stanley Olajide,2019-06-11,,Ibadan North West/Ibadan South West,Q1551163,PDP
,Ajibola Muraina,2019-06-11,2022-04-30,Ibarapa Central/Ibarapa North,Q1551163,PDP
,Ajibola Muraina,2022-04-30,,Ibarapa Central/Ibarapa North,Q4729266,APC
,Oluyemi Adewale Taiwo,2019-06-11,,Ibarapa East/Ido,Q1551163,PDP
,Olumide Ojerinde,2019-06-11,,Irepo/Olurunsogo/Orelope,Q4729266,APC
Q56678163,Shina Peller,2019-06-11,,Iseyin/Kajola/Iwajowa/Itesiwaju,Q4729266,APC
,Jacob Ajao Adejumo,2019-06-11,2019-11-09,Ogbomoso North/Ogbomoso South/Orire,,""
,Jacob Ajao Adejumo,2019-11-09,2022-05-23,Ogbomoso North/Ogbomoso South/Orire,Q4729266,APC
,Jacob Ajao Adejumo,2022-05,,Ogbomoso North/Ogbomoso South/Orire,Q7550561,SDP
,Segun Odebunmi,2019-06-11,,Ogo-Oluwa/Surulere,Q4729266,APC
Q102228500,Tolulope Akande-Sadipe,2019-06-11,,Oluyole,Q4729266,APC
,Simon Mwadkwon,2019-06-11,,Barkin Ladi/Riyom,Q1551163,PDP
,Solomon Maren,2019-06-11,,Bokkos/Mangu,Q1551163,PDP
Q111141521,Haruna Maitala,2019-06-11,2021-04-02,Jos North/Bassa,Q4729266,APC
,Musa Agah Avia,2022-03-10,,Jos North/Bassa,Q1551163,PDP
Q107528203,Dachung Musa Bagos,2019-06-11,,Jos South/Jos East,Q1551163,PDP
Q105783149,Yusuf Adamu Gagdi,2019-06-11,,Kanke/Pankshin/Kanam,Q4729266,APC
Q17385635,Beni Lar,2019-06-11,,Langtang North/Langtang South,Q1551163,PDP
,Komsol Longgap,2019-06-11,,Mikang/Qua’an/Pan/Shedam,Q4729266,APC
Q5261085,Ahmed Idris Wase,2019-06-11,,Wase,Q4729266,APC
Q107598364,Solomon Bob,2019-06-11,,Abua/Odua/Ahoada East,Q1551163,PDP
Q107337717,Uchechukwu Nnam-Obi,2019-06-11,,Ahoada West/Ogba/Egbema/Ndoni,Q1551163,PDP
,Boma Goodhead,2019-06-11,,Akuku Toru/Asari Toru,Q1551163,PDP
,Awaji-inombek Abiante,2019-06-11,,Akuku Toru/Asari Toru,Q1551163,PDP
Q64756796,Farah Dagogo,2019-06-11,,Degema/Bonny,Q1551163,PDP
Q65548435,Chisom Dike,2019-06-11,2021-09-16,Eleme/Oyigbo/Tai,Q1551163,PDP
Q65548435,Chisom Dike,2021-09-16,,Eleme/Oyigbo/Tai,Q4729266,APC
Q27063414,Ephraim Nwuzi,2019-06-11,2020-10-07,Etche/Omuma,Q1551163,PDP
Q27063414,Ephraim Nwuzi,2020-10-07,,Etche/Omuma,Q4729266,APC
Q20676550,Boniface S. Emerengwa,2019-06-11,,Ikwerre/Emoha,Q1551163,PDP
Q40663695,Dum Dekor,2019-06-11,,Khana/Gokana,Q1551163,PDP
Q35538233,Kingsley Chinda,2019-06-11,,Obio/Akpor,Q1551163,PDP
,Gogo Bright Tamuno,2019-06-11,,Okrika/Ogu/Bolo,Q1551163,PDP
Q35539099,Kenneth Chikere,2019-06-11,,Port Harcourt I,Q1551163,PDP
Q23409635,Chinyere Igwe,2019-06-11,,Port Harcourt II,Q1551163,PDP
,Mani Maishinko Katami,2019-06-11,,Binji/Silame,Q1551163,PDP
,Aliyu Shehu,2019-06-11,2019-10-30,Dange-Shuni/Bodinga/Tureta,Q4729266,APC
,Shehu Balarabe Kakale,2019-11-26,,Dange-Shuni/Bodinga/Tureta,Q1551163,PDP
Q24565203,Musa Sarkin-Adar,2019-06-11,2019,Goronyo/Gada,Q4729266,APC
Q24565203,Musa Sarkin-Adar,2019-06-13,,Goronyo/Gada,Q4729266,APC
Q4666128,Abdullahi Salame,2019-06-11,,Illela/Gwadabawa,Q4729266,APC
,Mohammed Saidu Bargaja,2019-06-11,2019,Isa/Sabon Birni,Q1551163,PDP
,Mohammed Saidu Bargaja,2020-02-04,,Isa/Sabon Birni,Q1551163,PDP
,Bala Kokani,2019-06-11,,Kebbe/Tambuwal,Q4729266,APC
,Ahmad Abdullahi Kalambaina,2019-06-11,,Kware/Wamakko,Q4729266,APC
,Hassan Bala Abubakar III,2019-06-11,2019-10-29,Sokoto North/Sokoto South,Q4729266,APC
,Abubakar Abdullahi Ahmed,2020-01-30,,Sokoto North/Sokoto South,Q1551163,PDP
,Yusuf Isah Kurdula,2019-06-11,,Tangaza/Gudu,Q4729266,APC
,Ibrahim Almustapha Aliyu,2019-06-11,,Wurno/Rabah,Q4729266,APC
,Abubakar Umar Yabo,2019-06-11,,Yabo/Shagari,Q4729266,APC
,Garba Hamman-Julde,2019-06-11,2019,Bali/Gassol,Q4729266,APC
,Abdulsalam Gambo Mubarak,2019-07-16,,Bali/Gassol,Q4729266,APC
,Aminu Ibrahim Malle,2019-06-11,2019-06-13,Jalingo/Yorro/Zing,Q4729266,APC
,Kasimu Bello Maigari,2019-07-03,,Jalingo/Yorro/Zing,Q4729266,APC
,Danladi Baido,2019-06-11,2022-04-25,Karim Lamido/Lau/Ardo-Kola,Q1551163,PDP
,Danladi Baido,2022-04-25,,Karim Lamido/Lau/Ardo-Kola,Q7550561,SDP
,David Abel Fuoh,2019-06-11,2020-10-07,Sardauna/Gashaka/Kurmi,Q1551163,PDP
,David Abel Fuoh,2020-10-07,,Sardauna/Gashaka/Kurmi,Q4729266,APC
,Rima Kwewum,2019-06-11,,Takuma/Donga/Ussa,Q1551163,PDP
Q35536154,Usman Danjuma Shiddi,2019-06-11,2020-12-15,Wukari/Ibi,Q4729271,APGA
Q35536154,Usman Danjuma Shiddi,2020-12-15,,Wukari/Ibi,Q4729266,APC
Q107001123,Zakariyau Galadima,2019-06-11,,Bade/Jakusko,Q4729266,APC
,Lawan Shettima Ali,2019-06-11,,Bursari/Geidam/Yunusari,Q4729266,APC
Q18129932,Khadija Bukar Abba Ibrahim,2019-06-11,,Damaturu/Gujba/Gulani/Tarmuwa,Q4729266,APC
,Abubakar Yerima Idris,2019-06-11,,Fika/Fune,Q4729266,APC
,Tijjani Zannah Zakariya,2019-06-11,,Machina/Nguru/Yusufari/Karasuwa,Q4729266,APC
,Ibrahim Umar Potiskum,2019-06-11,,Nangere/Potiskum,Q4729266,APC
,Kabiru Yahaya,2019-06-11,,Anka/Talata/Mafara,Q1551163,PDP
,Ahmed Bakura Muhammad,2019-06-11,2021-07-06,Bakura/Maradun,Q1551163,PDP
,Ahmed Bakura Muhammad,2021-07-06,,Bakura/Maradun,Q4729266,APC
,Shehu Ahmed,2019-06-11,2021-07-06,Bungudu/Maru,Q1551163,PDP
,Shehu Ahmed,2021-07-06,,Bungudu/Maru,Q4729266,APC
,Sulaiman Abubakar Gumi,2019-06-11,2021-07-06,Gunmi/Bukkuyum,Q1551163,PDP
,Sulaiman Abubakar Gumi,2021-07-06,,Gunmi/Bukkuyum,Q4729266,APC
,Kabiru Amadu,2019-06-11,2021-06-29,Gusau/Tsafe,Q1551163,PDP
,Kabiru Amadu,2021-07-14,,Gusau/Tsafe,Q4729266,APC
,Sani Umar Dan-Galadima,2019-06-11,2021-06-30,Kaura Namoda/Birnin Magaji,Q1551163,PDP
,Sani Umar Dan-Galadima,2021-06-30,,Kaura Namoda/Birnin Magaji,Q4729266,APC
,Bello Hassan Shinkafi,2019-06-11,2021-07-06,Shinkafi/Zurmi,Q1551163,PDP
,Bello Hassan Shinkafi,2021-07-06,,Shinkafi/Zurmi,Q4729266,APC
