item,name,party,constituency,startDate,endDate,gender,psid
Q83689398,Adamu Muhammad Bulkachuwa,,,2019-06-11,,male,Q83689398-7D14130F-7DCE-4C82-9478-055A98D34904
Q83689501,Francis Adenigba Fadahunsi,,,2019-06-11,,male,Q83689501-F6308A21-4D98-4DA7-89B1-A266FC5F38E5
Q83802158,Suleiman Sadiq Umar,,,2019-06-11,,male,Q83802158-C61DC1A1-2F65-48A7-A17E-7F9B70C93D9F
Q83947188,Godiya Akwashiki,,,2019-06-11,,male,Q83947188-4C90C3BF-898A-452E-82FC-1DBCBE2F7365
Q84579883,Nicholas Tofowomo,,,2019-06-11,,male,Q84579883-056C5D2F-F6D1-434C-BDFB-182E635451A5
Q84712546,Ibrahim Abdullahi Danbaba,,Sokoto South,2019-06-11,,male,Q84712546-8DA7C27A-E1C3-42AC-BD39-3A51F5ACA455
Q84721887,Jibrin Isah,,,2019-06-11,,male,Q84721887-6A607C6F-AA71-42AF-98D9-FED4EB23C7F7
Q84724262,Biobarakuma Wangagha Degi Eremienyo,,,2019-06-11,,male,Q84724262-14BE9841-D76D-418F-9717-06D2E6A4F012
Q84991358,Abdullahi Abubakar Yahaya,,,2019-06-11,,male,Q84991358-33549242-8C2D-4231-A8FA-5466C89FA9E7
Q85650784,Jika Dauda Halliru,,,2019-06-11,,male,Q85650784-65F0D3E4-39BD-471C-ADBA-2672E54D1139
Q85748522,Amos Bulus Kilawangs,,,2019-06-11,,male,Q85748522-CD2EACA9-76B7-40E4-92C8-CCB30B38B799
Q85785167,Michael Ama Nnachi,,,2019-06-11,,male,Q85785167-AB6F0EFA-BCA6-4BD3-B55D-C51F4017C29B
Q85912730,Mohammed Sabo,,,2019-06-11,,male,Q85912730-0C349A6B-FC89-4688-8E03-E36A7C334282
Q86452500,Muhammad Bima Enagi,,,2019-06-11,,male,Q86452500-4887ACB2-58F5-4485-99C1-56A15CDFD130
Q86513299,Aliyu Sabi Abdullahi,,,2019-06-11,,male,Q86513299-F3293219-2FBB-4533-91A0-DB30EF637AAB
Q86520249,Sani Musa,,Niger East,2019-06-11,,male,Q86520249-0590CAF8-5D85-4320-91F4-71E2972B4705
